County,Population,MalePov18to24,MalePov25to34,FemalePov18to24,FemalePov25to34
Texas,25923852,272256,230716,348755,372325
Texas -- Urban,22064431,249752,208777,318551,333819
Texas -- Not in metropolitan or micropolitan statistical area,1336742,9625,10502,14000,17082
"Gonzales County, Texas",19766,232,176,217,388
"Joaquin city, Texas",913,9,7,7,17
"Johnson City city, Texas",1677,16,16,0,27
"Jolly city, Texas",162,0,0,0,0
"Jones Creek village, Texas",2498,39,34,10,22
"Jonestown city, Texas",1939,18,0,25,0
"Josephine city, Texas",809,0,0,3,0
"Joshua city, Texas",5954,41,87,55,73
"Jourdanton city, Texas",4044,0,0,44,73
"Juarez CDP, Texas",294,0,0,0,0
"Junction city, Texas",2577,23,43,68,92
"Gray County, Texas",21262,169,159,228,268
"Justin city, Texas",3207,45,27,27,19
"Karnes City city, Texas",2851,13,102,60,89
"Katy city, Texas",15564,30,76,300,62
"Kaufman city, Texas",6437,50,89,161,177
"K-Bar Ranch CDP, Texas",701,0,12,0,0
"Keene city, Texas",5632,90,10,64,192
"Keller city, Texas",42796,41,46,50,139
"Kemah city, Texas",2118,6,7,0,13
"Kemp city, Texas",1443,7,7,45,18
"Kempner city, Texas",1326,0,3,6,18
"Grayson County, Texas",119943,1262,890,1301,1591
"Kendleton city, Texas",296,6,0,9,7
"Kenedy city, Texas",3299,93,77,26,112
"Kenefick town, Texas",485,0,0,0,0
"Kennard city, Texas",343,7,8,2,3
"Kennedale city, Texas",7212,0,68,54,1
"Kerens city, Texas",1581,5,1,0,41
"Kermit city, Texas",6048,9,26,55,94
"Kerrville city, Texas",21257,385,67,235,287
"Kilgore city, Texas",13717,119,2,374,159
"Killeen city, Texas",135967,754,1657,1404,2652
"Gregg County, Texas",119422,1370,882,1929,2025
"Kingsbury CDP, Texas",799,0,0,7,9
"Kingsland CDP, Texas",6661,56,7,98,82
"Kingsville city, Texas",24451,985,476,1154,563
"Kirby city, Texas",8332,6,23,71,33
"Kirbyville city, Texas",2307,38,0,68,25
"Kirvin town, Texas",117,0,0,0,0
"Knippa CDP, Texas",788,22,15,10,43
"Knollwood city, Texas",394,2,0,9,15
"Knox City town, Texas",1127,0,0,0,2
"Kosse town, Texas",378,11,1,9,6
"Grimes County, Texas",23719,94,270,358,339
"Kountze city, Texas",1976,0,14,16,28
"Kress city, Texas",623,0,0,7,3
"Krugerville city, Texas",1555,0,0,2,0
"Krum city, Texas",4625,27,0,23,16
"Kurten town, Texas",341,2,14,7,4
"Kyle city, Texas",31559,40,103,55,350
"La Blanca CDP, Texas",2421,76,0,66,33
"La Carla CDP, Texas",120,0,0,33,0
"La Casita CDP, Texas",0,0,0,0,0
"La Chuparosa CDP, Texas",0,0,0,0,0
"Guadalupe County, Texas",141379,619,704,1056,1072
"Lackland AFB CDP, Texas",1607,0,4,4,0
"La Coma CDP, Texas",25,0,0,0,0
"LaCoste city, Texas",1299,3,0,0,5
"Lacy-Lakeview city, Texas",6561,181,88,107,184
"Ladonia town, Texas",537,0,3,24,10
"La Escondida CDP, Texas",23,7,0,0,0
"La Esperanza CDP, Texas",30,0,0,0,0
"La Feria city, Texas",7325,107,62,54,120
"La Feria North CDP, Texas",86,0,0,0,0
"Lago CDP, Texas",126,0,0,0,0
"Hale County, Texas",32816,366,347,539,580
"Lago Vista CDP, Texas",134,0,0,0,6
"Lago Vista city, Texas",6409,0,0,0,0
"La Grange city, Texas",4569,10,52,70,93
"La Grulla city, Texas",1319,21,25,23,9
"Laguna Heights CDP, Texas",3240,42,39,13,184
"Laguna Park CDP, Texas",1446,0,0,0,0
"Laguna Seca CDP, Texas",383,0,0,0,4
"Laguna Vista town, Texas",3211,12,51,46,57
"La Homa CDP, Texas",13368,340,141,317,242
"La Joya city, Texas",4183,10,0,80,67
"Hall County, Texas",3143,59,45,28,23
"Lake Bridgeport city, Texas",422,3,5,0,10
"Lake Brownwood CDP, Texas",1264,0,9,0,29
"Lake Bryan CDP, Texas",2253,19,44,42,49
"Lake Cherokee CDP, Texas",2665,14,55,18,10
"Lake City town, Texas",442,8,0,2,17
"Lake Colorado City CDP, Texas",514,4,0,8,2
"Lake Dallas city, Texas",7465,14,50,0,98
"Lake Dunlap CDP, Texas",2688,28,0,0,9
"Lakehills CDP, Texas",4900,28,49,13,112
"Lake Jackson city, Texas",27250,239,121,154,337
"Hamilton County, Texas",8000,67,30,52,37
"Lake Kiowa CDP, Texas",2522,62,0,0,0
"Lake Medina Shores CDP, Texas",896,0,0,0,0
"Lake Meredith Estates CDP, Texas",146,0,0,0,0
"Lakeport city, Texas",1097,0,0,12,15
"Lakeshore Gardens-Hidden Acres CDP, Texas",845,0,75,10,0
"Lakeside town (San Patricio County), Texas",294,0,0,0,0
"Lakeside town (Tarrant County), Texas",1592,0,0,0,3
"Lakeside City town, Texas",1036,0,0,6,0
"Lake Tanglewood village, Texas",692,0,6,2,7
"Lakeview town, Texas",89,0,0,0,0
"Hansford County, Texas",5484,13,17,31,74
"Lake View CDP, Texas",127,0,0,0,0
"Lakeway city, Texas",13128,7,36,7,57
"Lakewood Village city, Texas",581,0,0,0,0
"Lake Worth city, Texas",4555,0,19,0,79
"La Loma de Falcon CDP, Texas",115,8,0,0,7
"Lamar CDP, Texas",1040,0,0,4,3
"La Marque city, Texas",15154,84,89,150,297
"Lamesa city, Texas",9282,35,29,123,114
"La Minita CDP, Texas",127,0,0,0,0
"Lampasas city, Texas",6902,123,40,143,99
Texas -- Not in metropolitan statistical area,2862511,28771,23909,40101,40346
"Hardeman County, Texas",3964,16,38,7,50
"Lancaster city, Texas",37581,229,241,539,553
"Lantana CDP, Texas",8585,17,0,0,0
"La Paloma CDP, Texas",2704,0,0,0,0
"La Paloma Addition CDP, Texas",101,18,0,0,0
"La Paloma-Lost Creek CDP, Texas",631,0,15,0,13
"La Paloma Ranchettes CDP, Texas",497,0,0,22,26
"La Porte city, Texas",34610,198,150,186,341
"La Presa CDP, Texas",330,9,0,27,14
"La Pryor CDP, Texas",1568,36,11,20,41
"La Puerta CDP, Texas",391,25,0,0,0
"Hardin County, Texas",54869,205,129,312,609
"Laredo city, Texas",244816,3722,3463,4736,5712
"Laredo Ranchettes CDP, Texas",58,7,0,0,0
"Laredo Ranchettes West CDP, Texas",0,0,0,0,0
"La Rosita CDP, Texas",106,0,0,0,0
"Lasana CDP, Texas",67,0,0,0,0
"Lasara CDP, Texas",994,40,32,25,34
"Las Haciendas CDP, Texas",0,0,0,0,0
"Las Lomas CDP, Texas",3743,131,241,128,130
"Las Lomitas CDP, Texas",312,0,0,0,0
"Las Palmas CDP, Texas",17,0,0,0,0
"Harris County, Texas",4312204,37551,44220,49791,69554
"Las Palmas II CDP, Texas",1765,52,28,97,117
"Las Pilas CDP, Texas",0,0,0,0,0
"Las Quintas Fronterizas CDP, Texas",2251,29,40,185,0
"Latexo city, Texas",332,1,2,0,10
"La Tina Ranch CDP, Texas",730,54,0,30,107
"Laughlin AFB CDP, Texas",1724,31,0,7,0
"Laureles CDP, Texas",5087,127,252,226,94
"La Vernia city, Texas",1387,0,3,14,0
"La Victoria CDP, Texas",91,0,0,0,0
"La Villa city, Texas",2497,39,69,52,42
"Harrison County, Texas",64919,504,498,588,893
"Lavon city, Texas",2507,0,6,4,0
"La Ward city, Texas",190,0,0,0,0
"Lawn town, Texas",326,0,9,2,5
"League City city, Texas",90931,100,315,183,497
"Leakey city, Texas",633,7,2,14,0
"Leander city, Texas",31974,16,55,70,137
"Leary city, Texas",690,14,6,0,15
"Lefors town, Texas",374,0,9,2,3
"Leming CDP, Texas",680,0,0,19,0
"Leona city, Texas",167,0,0,5,0
"Hartley County, Texas",4624,6,16,14,35
"Leonard city, Texas",2135,7,20,30,21
"Leon Valley city, Texas",10790,0,77,85,115
"Leroy city, Texas",376,0,1,0,1
"Levelland city, Texas",13111,163,134,319,114
"Lewisville city, Texas",100610,462,518,564,1203
"Lexington town, Texas",1301,26,45,44,16
"Liberty city, Texas",8335,127,111,0,166
"Liberty City CDP, Texas",2157,0,0,48,0
"Liberty Hill city, Texas",1140,0,11,3,58
"Lincoln Park town, Texas",278,0,3,1,6
"Haskell County, Texas",5021,3,49,15,111
"Lindale city, Texas",5203,17,64,0,138
"Linden city, Texas",2097,42,55,39,64
"Lindsay city, Texas",1103,2,0,3,2
